cliente no responde,nr
problemas económico,pe
problemas económico,pe
un problema con la único,pp
cliente corta,cc
no se ha realizado el pago automático,px
conflicto con fecha de pago,rd
no  ,ni
yo recibo mi pensión de d de vejez el día el día 15 entonces por eso después del 15 por eso tengo que pagar siempre pago el 1617 y 18 nunca pago después,rd
no tenía prioridad de verlo en este momento,ft
no  ,ni
cobro posterior a la fecha que me cobran el crédito de pedido fecha de cambio y no me la han ingresado,rd
vacaciones,v
problemas transitorios,pp
cliente corto,cc
cliente corta,cc
estoy fuera de la zona,v
cliente no responde,nr
atraso de sueldo,ap
esta pagada,yp
cliente corta,cc
no  ,ni
cliente corta,cc
problema personal,pp
no tengo internet para pagar mis cuentas,pp
cliente corto,cc
cliente corta,cc
ya se encuentra cancelado,yp
hoydia lo pagué,yp
olvidó más coloridos,o
olvidó,o
motivo personal,pp
cliente corto,cc
cliente corta,cc
olvidó,o
memo me sí estoy sin trabajo,c
olvidó,o
problema personal,pp
enfermedad,ps
mi fecha de sueldo son los 10 de cada mes,rd
olvidó,o
el viaje fuera del país,v
cliente corta,cc
por qué no me pagaron,ap
de los 2 que enfermedad,ps
cliente corto,cc
cliente corto,cc
olvido,o
problemas económico,pe
problemas personales,pp
no tengo dinero en este momento,pe
vacaciones,v
quién sabía no me han pagado empresa esperando que me bajan los recurso u,ap
olvidó,o
esta pagada,yp
demora en transferencia,ap
cliente no responde,nr
olvidó,o
cliente corta,cc
cliente corta,cc
no olvido,o
cliente no responde,nr
sus problemas personales,pp
cliente corta,cc
problemas económicos,pe
problema de duración,pp
cliente corto,cc
licencia médica,ps
olvidó,o
por problemas de salud,ps
no sé el pago de que cosa es,o
cliente corto,cc
tiempo,ft
gastos extra,pe
no  ,ni
su olvido,o
pago realizado,yp
cliente corto,cc
no ha podido ir al banco,pp
no tener plata suficiente para pagarla,pe
conflicto con fecha de pago,rd
accidente,ps
olvido,o
no me fije la fecha,o
es que no me pagan un mes,ap
ninguna razón,o
dinero,pe
por mis fechas de pago,rd
retraso de pagos de facturas ,ap
solamente un descuido nada más,o
no,ni
atrazada en pago,ap
el sueldo no están pagando atrasado,ap
vacaciones,v
no pago de licencias médicas,ap
contingencia social,se
por que quiero voy a cambiar la fecha de pago,rd
cliente corta,cc
no la había visto,o
me atrasaron pagos,ap
por problemas,pp
se me olvidó,o
problemas económicos,pe
demoras,ap
no,ni
cesante,c
atrazada en transferencia,ap
cliente corto,cc
no estaba en santiago,v
olvido,o
cliente corto,cc
olvidó,o
problema personal,pp
licencia medica y problemas económicos,ps
atraso de remuneración,ap
no tenía dinero,pe
disponibilidad,ft
afuera del país,v
descalce de fondos,pe
atraso nomas,ft
no no me di cuenta ahora voy a transferir,o
cliente corta,cc
sin acceso a computador ni internet,pp
no  ,ni
no no,ni
es que no me han cancelado mi sueldo,ap
problemas de salud,ps
retraso de ingreso,ap
un no lo sé,o
cliente corta,cc
cliente corto,cc
contingencia social,se
cambio de fecha de sueldo,rd
no  ,ni
demoras en el ingreso de fondos,ap
falta de fondos,pe
cliente corto,cc
sólo falta depósito,ap
retraso en el pago de mi sueldo,ap
problemas económico,pe
olvido,o
no,ni
cliente corta,cc
cliente corta,cc
cliente corta,cc
particular,pp
cliente corta,cc
cliente no responde,nr
no,ni
"es atraso, nada más",ap
falta de dinero,pe
cliente corto,cc
estaba de vacaciones fuera de chile,v
estado fuera de la ciudad,v
me olvidé,o
los falso son los 20 resolver sus bragas abajo,nc
ya lo pagué,yp
falta de fondos,pe
por el trabajo,pp
no me había dado cuenta que estaba sobre girado,o
no tenía plata desistí de,pe
problemas económicos,pe
olvido,o
tuve unos gastos extra,pe
sin dinero sin dinero sin dinero sin dinero,pe
no revisé la cuenta,o
que me pagan el 20,rd
otros gastos,pe
no tengo ningún atraso,yp
no,ni
tiempo,ft
cliente corto,cc
cesante,c
cesantías,c
cliente corto,cc
problema personal,pp
falta de pago,pe
no,ni
falta de tiempo,ft
falta de fondos,pe
no he estado en la zona,v
despedido de empleo,c
no  ,ni
cliente corto,cc
cesantía,c
no,ni
no me pagaron en el trabajo,ap
atrase en las deudas,pe
falta de fondos,pe
no,ni
conflicto con fecha de pago,rd
problema personal,pp
no pero yo ya lo pagué esto pagué esa deuda,yp
motivos personales,pp
no,ni
personales,pp
estaba de viaje,v
no  ,ni
no,ni
